Nr,Agreement,Document symbol,Document link (1),Document link (2),Notifying Member,Region group,Development status,Year,Notification pursuant to,Measure description,Type of measure,Coverage of the measure,ICS - HS code,Implementation period,Subsidy amount,Environment-related objective,Keywords,Harmonized types of environment-related objectives,Harmonized types of measures,Harmonized types of sectors subject to the measure,COUNTRIES,START,END,ISIC,Similar measures,Similarity index,BREADTH_economic_sectors,BREADTH_env_objectives,BREADTH_env_keywords,BREADTH,DEPTH_wording,DEPTH_measures_variety,DEPTH_measures_instrument,DEPTH,MEASURE_SCORE,Reported HS codes,Reported ICS codes,Reported ambiguous codes,Tentative HS chapters match,Absolute link strength (L_tilde),Relative link strength (L_bar),notification_used_as_start
1208,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1209="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1209,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1209,1,FIND("""""""""""""""";"""""""""""""""",C1209,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1209,1,FIND("""""""""""""""";"""""""""""""""",C1209,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1209),C1209)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1209,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1209,FIND("""""""""""""""";"""""""""""""""",C1209,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1209,FIND("""""""""""""""";"""""""""""""""",C1209,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,3.5.1. Fertilizers: Persons or entities who shall engage in the business of importing fertilizers must secure a license from the Fertilizer and Pesticide Authority (FPA).,Import license,"Inorganic fertilizers; biological fertilizers (microbial inoculants, genetically modified organisms, and decomposers); soil conditioners/soil amendments; plant growth regulators; raw materials; bio stimulants; and fortified organic","","","",To protect the environment by regulating the import of fertilizers,Bio;Genetic,Soil management and conservation;Sustainable agriculture management,Import licences,Agriculture;Chemicals,Philippines,2022,,01;20-21,"","",0.466,0.428,0.346,1.28,0,0.315,0.5,0.815,1.043,"","","",32,92,0.167,TRUE
1212,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1213="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1213,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1213,1,FIND("""""""""""""""";"""""""""""""""",C1213,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1213,1,FIND("""""""""""""""";"""""""""""""""",C1213,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1213),C1213)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1213,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1213,FIND("""""""""""""""";"""""""""""""""",C1213,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1213,FIND("""""""""""""""";"""""""""""""""",C1213,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,3.5.2. Agricultural pesticides: No pesticide shall be imported into the country without the appropriate Certificate Authorizing Importation of Pesticides (CAIPs) issued by the Fertilizer and Pesticide Authority (FPA).,Certificate Authorizing Importation of Pesticides,Chemical pesticides and biorational pesticides,38.08,"","","To protect the environment by requiring a Certificate Authorizing Importation of Pesticides for the importation of pesticides, including biorational pesticides.",Bio;Hazardous,"Chemical, toxic and hazardous substances management;Sustainable agriculture management",Import licences,Chemicals,Philippines,2022,,20-21,"","",0.204,0.428,0.346,0.886,0,0.315,0.5,0.815,0.722,"","",38.08,38,18,1,TRUE
1213,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1214="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1214),C1214)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"4.1. Crude oil and petroleum products: The Oil Industry Management Bureau (OIMB) issues an Acknowledgement Letter to a Downstream Oil Industry (DOI) Participant who files a notice of crude oil or petroleum products importation and to a Downstream Oil Industry (DOI) Biofuel Participant who will file supplemental bioethanol importation from foreign countries, freeports and economic zones, whether for trade or for his own use and requirement, to ensure effective monitoring by the OIMB and conformance with the Basel Convention.",Import-related requirements,"Crude oil, petroleum products, and bioethanol","","","",To ensure that importation is in accordance with the Basel Convention and establish guidelines for bioethanol production,Bio;Hazardous;MEAs,"Alternative and renewable energy;Chemical, toxic and hazardous substances management;MEAs implementation and compliance",Import licences,Energy,Philippines,2022,,35,3345;4690,1;0.814,0.334,0.54,0.436,1.233,0.46,0.315,0.5,1.275,1.572,"","","",15,282,0.261,TRUE
1213,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1214="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1214),C1214)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"4.1. Crude oil and petroleum products: The Oil Industry Management Bureau (OIMB) issues an Acknowledgement Letter to a Downstream Oil Industry (DOI) Participant who files a notice of crude oil or petroleum products importation and to a Downstream Oil Industry (DOI) Biofuel Participant who will file supplemental bioethanol importation from foreign countries, freeports and economic zones, whether for trade or for his own use and requirement, to ensure effective monitoring by the OIMB and conformance with the Basel Convention.",Import-related requirements,"Crude oil, petroleum products, and bioethanol","","","",To ensure that importation is in accordance with the Basel Convention and establish guidelines for bioethanol production,Bio;Hazardous;MEAs,"Alternative and renewable energy;Chemical, toxic and hazardous substances management;MEAs implementation and compliance",Import licences,Energy,Philippines,2022,,35,3345;4690,1;0.814,0.334,0.54,0.436,1.233,0.46,0.315,0.5,1.275,1.572,"","","",27,139,0.129,TRUE
1213,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1214="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1214),C1214)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"4.1. Crude oil and petroleum products: The Oil Industry Management Bureau (OIMB) issues an Acknowledgement Letter to a Downstream Oil Industry (DOI) Participant who files a notice of crude oil or petroleum products importation and to a Downstream Oil Industry (DOI) Biofuel Participant who will file supplemental bioethanol importation from foreign countries, freeports and economic zones, whether for trade or for his own use and requirement, to ensure effective monitoring by the OIMB and conformance with the Basel Convention.",Import-related requirements,"Crude oil, petroleum products, and bioethanol","","","",To ensure that importation is in accordance with the Basel Convention and establish guidelines for bioethanol production,Bio;Hazardous;MEAs,"Alternative and renewable energy;Chemical, toxic and hazardous substances management;MEAs implementation and compliance",Import licences,Energy,Philippines,2022,,35,3345;4690,1;0.814,0.334,0.54,0.436,1.233,0.46,0.315,0.5,1.275,1.572,"","","",38,136,0.126,TRUE
1213,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1214="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1214,1,FIND("""""""""""""""";"""""""""""""""",C1214,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1214),C1214)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1214,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1214,FIND("""""""""""""""";"""""""""""""""",C1214,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"4.1. Crude oil and petroleum products: The Oil Industry Management Bureau (OIMB) issues an Acknowledgement Letter to a Downstream Oil Industry (DOI) Participant who files a notice of crude oil or petroleum products importation and to a Downstream Oil Industry (DOI) Biofuel Participant who will file supplemental bioethanol importation from foreign countries, freeports and economic zones, whether for trade or for his own use and requirement, to ensure effective monitoring by the OIMB and conformance with the Basel Convention.",Import-related requirements,"Crude oil, petroleum products, and bioethanol","","","",To ensure that importation is in accordance with the Basel Convention and establish guidelines for bioethanol production,Bio;Hazardous;MEAs,"Alternative and renewable energy;Chemical, toxic and hazardous substances management;MEAs implementation and compliance",Import licences,Energy,Philippines,2022,,35,3345;4690,1;0.814,0.334,0.54,0.436,1.233,0.46,0.315,0.5,1.275,1.572,"","","",73,137,0.127,TRUE
1214,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1215="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1215,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1215,1,FIND("""""""""""""""";"""""""""""""""",C1215,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1215,1,FIND("""""""""""""""";"""""""""""""""",C1215,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1215),C1215)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1215,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1215,FIND("""""""""""""""";"""""""""""""""",C1215,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1215,FIND("""""""""""""""";"""""""""""""""",C1215,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"5.1. Wood materials: DENR Administrative Order (DAO) No. 2021-06 or the 'Revised Regulations Governing the Entry and Disposition of Imported Wood Products' provides for the basic policy, scope and general provision of the regulations that include the persons authorized to import wood materials, the documents required as well as the issuing authorities for the import authority. This policy is issued in order to provide a mechanism to effectively monitor the importation of wood materials, alongside with the existing import guidelines and procedures functions of the Bureau of Customs (BOC) and the Bureau of Plant Industry's National Plant Quarantine Services Division (BPI-NPQSD), and DENR policy on wood industry rationalization and development.",Import-related requirements,Wood materials,"","","","To import wood materials, as a stop-gap measure to ensure a continuous supply of wood raw materials, until such time that local supply from tree plantations can adequately meet the local needs; augment local sources in order to utilize existing wood processing plant capacities; enable wood-based industries including the furniture and other downstream wood industries to generate employment and income",Conservation;Environment;Forest;Natural resources,Natural resources conservation;Sustainable forestry management,Import licences,Forestry,Philippines,2022,,02,3346,0.526,0.239,0.428,0.506,1.059,0.774,0.315,0.5,1.589,1.683,"","","",44,3301,0.749,TRUE
1215,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1216="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1216,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1216,1,FIND("""""""""""""""";"""""""""""""""",C1216,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1216,1,FIND("""""""""""""""";"""""""""""""""",C1216,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1216),C1216)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1216,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1216,FIND("""""""""""""""";"""""""""""""""",C1216,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1216,FIND("""""""""""""""";"""""""""""""""",C1216,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"5.2. Chainsaws: DENR Administrative Order No. 2003-24 (DAO 2003-24) provides for the basic policy, scope and general provisions of the regulations that include the persons authorized to import chainsaws, the documents required to import chainsaws, as well as the issuing authority for the chainsaw import permit.",Import permit system,Chainsaws,"","","","To regulate the purchase, ownership, possession, sale, transfer, importation and/use of chainsaws to prevent them from being used in illegal loggings or unauthorized clearing of forests",Forest,Sustainable forestry management,Import licences,Manufacturing,Philippines,2022,,10-19;22-33,3347;4566;4692,0.822;0.773;0.822,0.657,0.27,0.218,1.352,0.781,0.315,0.5,1.596,2.158,"","","",82,13,0.228,TRUE
1215,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1216="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1216,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1216,1,FIND("""""""""""""""";"""""""""""""""",C1216,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1216,1,FIND("""""""""""""""";"""""""""""""""",C1216,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1216),C1216)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1216,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1216,FIND("""""""""""""""";"""""""""""""""",C1216,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1216,FIND("""""""""""""""";"""""""""""""""",C1216,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"5.2. Chainsaws: DENR Administrative Order No. 2003-24 (DAO 2003-24) provides for the basic policy, scope and general provisions of the regulations that include the persons authorized to import chainsaws, the documents required to import chainsaws, as well as the issuing authority for the chainsaw import permit.",Import permit system,Chainsaws,"","","","To regulate the purchase, ownership, possession, sale, transfer, importation and/use of chainsaws to prevent them from being used in illegal loggings or unauthorized clearing of forests",Forest,Sustainable forestry management,Import licences,Manufacturing,Philippines,2022,,10-19;22-33,3347;4566;4692,0.822;0.773;0.822,0.657,0.27,0.218,1.352,0.781,0.315,0.5,1.596,2.158,"","","",84,25,0.428,TRUE
1216,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1217="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1217,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1217,1,FIND("""""""""""""""";"""""""""""""""",C1217,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1217,1,FIND("""""""""""""""";"""""""""""""""",C1217,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1217),C1217)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1217,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1217,FIND("""""""""""""""";"""""""""""""""",C1217,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1217,FIND("""""""""""""""";"""""""""""""""",C1217,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"5.3. Recyclable materials containing hazardous substances: Importation clearance is required for the importation of recyclable materials containing hazardous substances to prevent the entry, and/or transit, as well as keeping for storage and disposal of hazardous waste into the country to protect the environment. It serves as a stop gap measure to support the recycling industry in the Philippines. The importation clearance is only issued to registered importer in the Department of Environment and Natural Resources (DENR) through its Environmental Management Bureau-Central Office (EMB-CO).",Importation clearance,"Scrap metals, solid plastic materials, electronic assemblies and scrap, used oil, and fly ash","","","","To prevent the entry, and/or transit, as well as keeping for storage and disposal of hazardous waste into the country to protect the environment under the Basel Convention",Environment;Hazardous;MEAs;Recycle;Waste,"Chemical, toxic and hazardous substances management;MEAs implementation and compliance;Waste management and recycling",Import licences,Manufacturing;Other,Philippines,2022,,10-19;22-33;36-43,3348;4693,0.743;0.629,0.687,0.54,0.564,1.858,0.726,0.315,0.5,1.541,2.863,"","","",,,,TRUE
1217,Import Licensing Procedures,G/LIC/N/3/PHL/15,"=IF(C1218="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1218,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1218,1,FIND("""""""""""""""";"""""""""""""""",C1218,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1218,1,FIND("""""""""""""""";"""""""""""""""",C1218,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1218),C1218)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1218,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1218,FIND("""""""""""""""";"""""""""""""""",C1218,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1218,FIND("""""""""""""""";"""""""""""""""",C1218,1)+1,100)))), """""""""""""""" """""""""""""""")",Philippines,Asia,Developing,2022,Article 7.3 of the Agreement on Import Licensing Procedures,5.4.1. Chemicals and chemical substances imported and classified under the Chemical Control Order (CCO): Chemicals and chemical substances that are classified under the Chemical Control Order (CCO) must secure CCO Registration prior to the application of the CCO Importation Clearance prior to the release of shipment by the Bureau of Customs (BOC). The applicant must apply under the Online Permitting and Monitoring System (OPMS) or the link found at https://opms.emb.gov.ph/.,Chemical Control Order (CCO) Registration,"Mercury, mercury compounds and mercury-added products – to phase out mercury-added products based on schedule; Arsenic and arsenic compounds; Cyanide and cyanide compounds; Asbestos; Lead and lead compounds; Ozone Depleting Substances (ODS) - to phase out in compliance to Montreal Protocol on Substances that Deplete the Ozone Layer (Most of the ODS are already phased out/banned to import except for HCFCs and HCFC blends); Cadmium and Cadmium Compounds; Chromium VI and its compounds; and; Hydrofluorocarbons – to phasedown HFCs in compliance with the Kigali Amendment of the Montreal Protocol.","","","",To protect the environment by regulating the import of chemicals and chemical substances under the CCO under the Montreal Protocol,Hazardous;MEAs;Ozone,"Chemical, toxic and hazardous substances management;MEAs implementation and compliance;Ozone layer protection",Import licences,Chemicals,Philippines,2022,,20-21,3349;4694,0.645;0.689,0.204,0.54,0.436,1.038,0.662,0.315,0.5,1.477,1.533,"","","",28,619,0.253,TRUE
