area_name,date,cause_of_death,deaths
Barking and Dagenham,2021-01-23,Non COVID 19,0
Barking and Dagenham,2021-01-24,COVID 19,0
Barking and Dagenham,2021-01-24,Non COVID 19,0
Barking and Dagenham,2021-01-25,COVID 19,0
Barking and Dagenham,2021-01-25,Non COVID 19,2
Barking and Dagenham,2021-01-26,COVID 19,0
Barking and Dagenham,2021-01-26,Non COVID 19,1
Barking and Dagenham,2021-01-27,COVID 19,0
Barking and Dagenham,2021-01-27,Non COVID 19,0
Barking and Dagenham,2021-01-28,COVID 19,0
Barking and Dagenham,2021-01-28,Non COVID 19,0
Barking and Dagenham,2021-01-29,COVID 19,0
Barking and Dagenham,2021-01-29,Non COVID 19,1
Barking and Dagenham,2021-01-30,COVID 19,0
Barking and Dagenham,2021-01-30,Non COVID 19,0
Barking and Dagenham,2021-01-31,COVID 19,0
Barking and Dagenham,2021-01-31,Non COVID 19,0
Barking and Dagenham,2021-02-01,COVID 19,0
Barking and Dagenham,2021-02-01,Non COVID 19,1
Barking and Dagenham,2021-02-02,COVID 19,0
Barking and Dagenham,2021-02-02,Non COVID 19,0
Barking and Dagenham,2021-02-03,COVID 19,2
Barking and Dagenham,2021-02-03,Non COVID 19,1
Barking and Dagenham,2021-02-04,COVID 19,0
Barking and Dagenham,2021-02-04,Non COVID 19,0
Barking and Dagenham,2021-02-05,COVID 19,0
Barking and Dagenham,2021-02-05,Non COVID 19,0
Barking and Dagenham,2021-02-06,COVID 19,0
Barking and Dagenham,2021-02-06,Non COVID 19,0
Barking and Dagenham,2021-02-07,COVID 19,1
Barking and Dagenham,2021-02-07,Non COVID 19,0
Barking and Dagenham,2021-02-08,COVID 19,0
Barking and Dagenham,2021-02-08,Non COVID 19,0
Barking and Dagenham,2021-02-09,COVID 19,0
Barking and Dagenham,2021-02-09,Non COVID 19,1
Barking and Dagenham,2021-02-10,COVID 19,0
Barking and Dagenham,2021-02-10,Non COVID 19,0
Barking and Dagenham,2021-02-11,COVID 19,0
Barking and Dagenham,2021-02-11,Non COVID 19,0
Barking and Dagenham,2021-02-12,COVID 19,0
Barking and Dagenham,2021-02-12,Non COVID 19,0
Barking and Dagenham,2021-02-13,COVID 19,0
Barking and Dagenham,2021-02-13,Non COVID 19,0
Barking and Dagenham,2021-02-14,COVID 19,0
Barking and Dagenham,2021-02-14,Non COVID 19,0
Barking and Dagenham,2021-02-15,COVID 19,0
Barking and Dagenham,2021-02-15,Non COVID 19,1
Barking and Dagenham,2021-02-16,COVID 19,0
Barking and Dagenham,2021-02-16,Non COVID 19,1
Barking and Dagenham,2021-02-17,COVID 19,0
Barking and Dagenham,2021-02-17,Non COVID 19,0
Barking and Dagenham,2021-02-18,COVID 19,0
Barking and Dagenham,2021-02-18,Non COVID 19,1
Barking and Dagenham,2021-02-19,COVID 19,0
Barking and Dagenham,2021-02-19,Non COVID 19,0
Barking and Dagenham,2021-02-20,COVID 19,0
Barking and Dagenham,2021-02-20,Non COVID 19,0
Barking and Dagenham,2021-02-21,COVID 19,0
Barking and Dagenham,2021-02-21,Non COVID 19,0
Barking and Dagenham,2021-02-22,COVID 19,0
Barking and Dagenham,2021-02-22,Non COVID 19,0
Barking and Dagenham,2021-02-23,COVID 19,0
Barking and Dagenham,2021-02-23,Non COVID 19,0
Barking and Dagenham,2021-02-24,COVID 19,0
Barking and Dagenham,2021-02-24,Non COVID 19,0
Barking and Dagenham,2021-02-25,COVID 19,0
Barking and Dagenham,2021-02-25,Non COVID 19,0
Barking and Dagenham,2021-02-26,COVID 19,0
Barking and Dagenham,2021-02-26,Non COVID 19,0
Barking and Dagenham,2021-02-27,COVID 19,0
Barking and Dagenham,2021-02-27,Non COVID 19,0
Barking and Dagenham,2021-02-28,COVID 19,0
Barking and Dagenham,2021-02-28,Non COVID 19,0
Barking and Dagenham,2021-03-01,COVID 19,0
Barking and Dagenham,2021-03-01,Non COVID 19,1
Barking and Dagenham,2021-03-02,COVID 19,0
Barking and Dagenham,2021-03-02,Non COVID 19,0
Barking and Dagenham,2021-03-03,COVID 19,0
Barking and Dagenham,2021-03-03,Non COVID 19,0
Barking and Dagenham,2021-03-04,COVID 19,0
Barking and Dagenham,2021-03-04,Non COVID 19,0
Barking and Dagenham,2021-03-05,COVID 19,0
Barking and Dagenham,2021-03-05,Non COVID 19,1
Barking and Dagenham,2021-03-06,COVID 19,0
Barking and Dagenham,2021-03-06,Non COVID 19,0
Barking and Dagenham,2021-03-07,COVID 19,0
Barking and Dagenham,2021-03-07,Non COVID 19,0
Barking and Dagenham,2021-03-08,COVID 19,0
Barking and Dagenham,2021-03-08,Non COVID 19,2
Barking and Dagenham,2021-03-09,COVID 19,0
Barking and Dagenham,2021-03-09,Non COVID 19,1
Barking and Dagenham,2021-03-10,COVID 19,0
Barking and Dagenham,2021-03-10,Non COVID 19,1
Barking and Dagenham,2021-03-11,COVID 19,0
Barking and Dagenham,2021-03-11,Non COVID 19,0
Barking and Dagenham,2021-03-12,COVID 19,0
Barking and Dagenham,2021-03-12,Non COVID 19,0
Barking and Dagenham,2021-03-13,COVID 19,0
Barking and Dagenham,2021-03-13,Non COVID 19,0
Barking and Dagenham,2021-03-14,COVID 19,0
Barking and Dagenham,2021-03-14,Non COVID 19,0
Barking and Dagenham,2021-03-15,COVID 19,0
Barking and Dagenham,2021-03-15,Non COVID 19,2
Barking and Dagenham,2021-03-16,COVID 19,0
Barking and Dagenham,2021-03-16,Non COVID 19,0
Barking and Dagenham,2021-03-17,COVID 19,0
Barking and Dagenham,2021-03-17,Non COVID 19,0
Barking and Dagenham,2021-03-18,COVID 19,0
Barking and Dagenham,2021-03-18,Non COVID 19,0
Barking and Dagenham,2021-03-19,COVID 19,0
Barking and Dagenham,2021-03-19,Non COVID 19,0
Barking and Dagenham,2021-03-20,COVID 19,0
Barking and Dagenham,2021-03-20,Non COVID 19,0
Barking and Dagenham,2021-03-21,COVID 19,0
Barking and Dagenham,2021-03-21,Non COVID 19,1
Barking and Dagenham,2021-03-22,COVID 19,0
Barking and Dagenham,2021-03-22,Non COVID 19,0
Barking and Dagenham,2021-03-23,COVID 19,0
Barking and Dagenham,2021-03-23,Non COVID 19,1
Barking and Dagenham,2021-03-24,COVID 19,0
Barking and Dagenham,2021-03-24,Non COVID 19,1
Barking and Dagenham,2021-03-25,COVID 19,0
Barking and Dagenham,2021-03-25,Non COVID 19,1
Barking and Dagenham,2021-03-26,COVID 19,0
Barking and Dagenham,2021-03-26,Non COVID 19,0
Barking and Dagenham,2021-03-27,COVID 19,0
Barking and Dagenham,2021-03-27,Non COVID 19,0
Barking and Dagenham,2021-03-28,COVID 19,0
Barking and Dagenham,2021-03-28,Non COVID 19,0
Barking and Dagenham,2021-03-29,COVID 19,0
Barking and Dagenham,2021-03-29,Non COVID 19,0
Barking and Dagenham,2021-03-30,COVID 19,0
Barking and Dagenham,2021-03-30,Non COVID 19,0
Barking and Dagenham,2021-03-31,COVID 19,0
Barking and Dagenham,2021-03-31,Non COVID 19,0
Barking and Dagenham,2021-04-01,COVID 19,0
Barking and Dagenham,2021-04-01,Non COVID 19,0
Barking and Dagenham,2021-04-02,COVID 19,0
Barking and Dagenham,2021-04-02,Non COVID 19,0
Barking and Dagenham,2021-04-03,COVID 19,0
Barking and Dagenham,2021-04-03,Non COVID 19,0
Barking and Dagenham,2021-04-04,COVID 19,0
Barking and Dagenham,2021-04-04,Non COVID 19,0
Barking and Dagenham,2021-04-05,COVID 19,0
Barking and Dagenham,2021-04-05,Non COVID 19,1
Barking and Dagenham,2021-04-06,COVID 19,0
Barking and Dagenham,2021-04-06,Non COVID 19,0
Barking and Dagenham,2021-04-07,COVID 19,0
Barking and Dagenham,2021-04-07,Non COVID 19,1
Barking and Dagenham,2021-04-08,COVID 19,1
Barking and Dagenham,2021-04-08,Non COVID 19,0
Barking and Dagenham,2021-04-09,COVID 19,0
Barking and Dagenham,2021-04-09,Non COVID 19,0
Barking and Dagenham,2021-04-10,COVID 19,0
Barking and Dagenham,2021-04-10,Non COVID 19,0
Barking and Dagenham,2021-04-11,COVID 19,0
Barking and Dagenham,2021-04-11,Non COVID 19,0
Barking and Dagenham,2021-04-12,COVID 19,0
Barking and Dagenham,2021-04-12,Non COVID 19,1
Barking and Dagenham,2021-04-13,COVID 19,0
Barking and Dagenham,2021-04-13,Non COVID 19,1
Barking and Dagenham,2021-04-14,COVID 19,0
Barking and Dagenham,2021-04-14,Non COVID 19,3
Barking and Dagenham,2021-04-15,COVID 19,0
Barking and Dagenham,2021-04-15,Non COVID 19,0
Barking and Dagenham,2021-04-16,COVID 19,0
Barking and Dagenham,2021-04-16,Non COVID 19,1
Barking and Dagenham,2021-04-17,COVID 19,0
Barking and Dagenham,2021-04-17,Non COVID 19,0
Barking and Dagenham,2021-04-18,COVID 19,0
Barking and Dagenham,2021-04-18,Non COVID 19,0
Barking and Dagenham,2021-04-19,COVID 19,0
Barking and Dagenham,2021-04-19,Non COVID 19,0
Barking and Dagenham,2021-04-20,COVID 19,0
Barking and Dagenham,2021-04-20,Non COVID 19,0
Barking and Dagenham,2021-04-21,COVID 19,0
Barking and Dagenham,2021-04-21,Non COVID 19,0
Barking and Dagenham,2021-04-22,COVID 19,0
Barking and Dagenham,2021-04-22,Non COVID 19,0
Barking and Dagenham,2021-04-23,COVID 19,0
Barking and Dagenham,2021-04-23,Non COVID 19,0
Barking and Dagenham,2021-04-24,COVID 19,0
Barking and Dagenham,2021-04-24,Non COVID 19,0
Barking and Dagenham,2021-04-25,COVID 19,0
Barking and Dagenham,2021-04-25,Non COVID 19,0
Barking and Dagenham,2021-04-26,COVID 19,0
Barking and Dagenham,2021-04-26,Non COVID 19,4
Barking and Dagenham,2021-04-27,COVID 19,0
Barking and Dagenham,2021-04-27,Non COVID 19,0
Barking and Dagenham,2021-04-28,COVID 19,0
Barking and Dagenham,2021-04-28,Non COVID 19,1
Barking and Dagenham,2021-04-29,COVID 19,0
Barking and Dagenham,2021-04-29,Non COVID 19,0
Barking and Dagenham,2021-04-30,COVID 19,0
Barking and Dagenham,2021-04-30,Non COVID 19,0
Barking and Dagenham,2021-05-01,COVID 19,0
Barking and Dagenham,2021-05-01,Non COVID 19,0
Barking and Dagenham,2021-05-02,COVID 19,0
Barking and Dagenham,2021-05-02,Non COVID 19,0
Barking and Dagenham,2021-05-03,COVID 19,0
Barking and Dagenham,2021-05-03,Non COVID 19,0
Barking and Dagenham,2021-05-04,COVID 19,0
Barking and Dagenham,2021-05-04,Non COVID 19,1
Barking and Dagenham,2021-05-05,COVID 19,0
Barking and Dagenham,2021-05-05,Non COVID 19,1
Barking and Dagenham,2021-05-06,COVID 19,0
Barking and Dagenham,2021-05-06,Non COVID 19,0
Barking and Dagenham,2021-05-07,COVID 19,0
Barking and Dagenham,2021-05-07,Non COVID 19,0
Barking and Dagenham,2021-05-08,COVID 19,0
Barking and Dagenham,2021-05-08,Non COVID 19,0
Barking and Dagenham,2021-05-09,COVID 19,0
Barking and Dagenham,2021-05-09,Non COVID 19,0
Barking and Dagenham,2021-05-10,COVID 19,0
Barking and Dagenham,2021-05-10,Non COVID 19,0
Barking and Dagenham,2021-05-11,COVID 19,0
Barking and Dagenham,2021-05-11,Non COVID 19,0
Barking and Dagenham,2021-05-12,COVID 19,0
Barking and Dagenham,2021-05-12,Non COVID 19,0
Barking and Dagenham,2021-05-13,COVID 19,0
Barking and Dagenham,2021-05-13,Non COVID 19,0
Barking and Dagenham,2021-05-14,COVID 19,0
Barking and Dagenham,2021-05-14,Non COVID 19,0
Barking and Dagenham,2021-05-15,COVID 19,0
Barking and Dagenham,2021-05-15,Non COVID 19,0
Barking and Dagenham,2021-05-16,COVID 19,0
Barking and Dagenham,2021-05-16,Non COVID 19,0
Barking and Dagenham,2021-05-17,COVID 19,0
Barking and Dagenham,2021-05-17,Non COVID 19,0
Barking and Dagenham,2021-05-18,COVID 19,0
Barking and Dagenham,2021-05-18,Non COVID 19,0
Barking and Dagenham,2021-05-19,COVID 19,0
Barking and Dagenham,2021-05-19,Non COVID 19,0
Barking and Dagenham,2021-05-20,COVID 19,0
Barking and Dagenham,2021-05-20,Non COVID 19,1
Barking and Dagenham,2021-05-21,COVID 19,0
Barking and Dagenham,2021-05-21,Non COVID 19,0
Barking and Dagenham,2021-05-22,COVID 19,0
Barking and Dagenham,2021-05-22,Non COVID 19,0
Barking and Dagenham,2021-05-23,COVID 19,0
Barking and Dagenham,2021-05-23,Non COVID 19,0
Barking and Dagenham,2021-05-24,COVID 19,0
Barking and Dagenham,2021-05-24,Non COVID 19,0
Barking and Dagenham,2021-05-25,COVID 19,0
Barking and Dagenham,2021-05-25,Non COVID 19,0
Barking and Dagenham,2021-05-26,COVID 19,0
Barking and Dagenham,2021-05-26,Non COVID 19,0
Barking and Dagenham,2021-05-27,COVID 19,0
Barking and Dagenham,2021-05-27,Non COVID 19,0
Barking and Dagenham,2021-05-28,COVID 19,0
Barking and Dagenham,2021-05-28,Non COVID 19,0
Barking and Dagenham,2021-05-29,COVID 19,0
Barking and Dagenham,2021-05-29,Non COVID 19,0
Barking and Dagenham,2021-05-30,COVID 19,0
Barking and Dagenham,2021-05-30,Non COVID 19,0
Barking and Dagenham,2021-05-31,COVID 19,0
Barking and Dagenham,2021-05-31,Non COVID 19,0
Barking and Dagenham,2021-06-01,COVID 19,0
Barking and Dagenham,2021-06-01,Non COVID 19,0
Barking and Dagenham,2021-06-02,COVID 19,0
Barking and Dagenham,2021-06-02,Non COVID 19,1
Barking and Dagenham,2021-06-03,COVID 19,0
Barking and Dagenham,2021-06-03,Non COVID 19,0
Barking and Dagenham,2021-06-04,COVID 19,0
Barking and Dagenham,2021-06-04,Non COVID 19,1
Barking and Dagenham,2021-06-05,COVID 19,0
Barking and Dagenham,2021-06-05,Non COVID 19,1
Barking and Dagenham,2021-06-06,COVID 19,0
Barking and Dagenham,2021-06-06,Non COVID 19,0
Barking and Dagenham,2021-06-07,COVID 19,0
Barking and Dagenham,2021-06-07,Non COVID 19,0
Barking and Dagenham,2021-06-08,COVID 19,0
Barking and Dagenham,2021-06-08,Non COVID 19,0
Barking and Dagenham,2021-06-09,COVID 19,0
Barking and Dagenham,2021-06-09,Non COVID 19,1
Barking and Dagenham,2021-06-10,COVID 19,0
Barking and Dagenham,2021-06-10,Non COVID 19,0
Barking and Dagenham,2021-06-11,COVID 19,0
Barking and Dagenham,2021-06-11,Non COVID 19,0
Barking and Dagenham,2021-06-12,COVID 19,0
Barking and Dagenham,2021-06-12,Non COVID 19,0
Barking and Dagenham,2021-06-13,COVID 19,0
Barking and Dagenham,2021-06-13,Non COVID 19,0
Barking and Dagenham,2021-06-14,COVID 19,0
Barking and Dagenham,2021-06-14,Non COVID 19,1
Barking and Dagenham,2021-06-15,COVID 19,0
Barking and Dagenham,2021-06-15,Non COVID 19,0
Barking and Dagenham,2021-06-16,COVID 19,0
Barking and Dagenham,2021-06-16,Non COVID 19,2
Barking and Dagenham,2021-06-17,COVID 19,0
Barking and Dagenham,2021-06-17,Non COVID 19,2
Barking and Dagenham,2021-06-18,COVID 19,0
Barking and Dagenham,2021-06-18,Non COVID 19,1
Barking and Dagenham,2021-06-19,COVID 19,0
Barking and Dagenham,2021-06-19,Non COVID 19,1
Barking and Dagenham,2021-06-20,COVID 19,0
Barking and Dagenham,2021-06-20,Non COVID 19,0
Barking and Dagenham,2021-06-21,COVID 19,0
Barking and Dagenham,2021-06-21,Non COVID 19,0
Barking and Dagenham,2021-06-22,COVID 19,0
Barking and Dagenham,2021-06-22,Non COVID 19,0
Barking and Dagenham,2021-06-23,COVID 19,0
Barking and Dagenham,2021-06-23,Non COVID 19,0
Barking and Dagenham,2021-06-24,COVID 19,0
Barking and Dagenham,2021-06-24,Non COVID 19,2
Barking and Dagenham,2021-06-25,COVID 19,0
Barking and Dagenham,2021-06-25,Non COVID 19,1
Barking and Dagenham,2021-06-26,COVID 19,0
Barking and Dagenham,2021-06-26,Non COVID 19,0
Barking and Dagenham,2021-06-27,COVID 19,0
Barking and Dagenham,2021-06-27,Non COVID 19,0
Barking and Dagenham,2021-06-28,COVID 19,0
Barking and Dagenham,2021-06-28,Non COVID 19,1
Barking and Dagenham,2021-06-29,COVID 19,0
Barking and Dagenham,2021-06-29,Non COVID 19,0
Barking and Dagenham,2021-06-30,COVID 19,0
Barking and Dagenham,2021-06-30,Non COVID 19,0
Barking and Dagenham,2021-07-01,COVID 19,0
Barking and Dagenham,2021-07-01,Non COVID 19,1
Barking and Dagenham,2021-07-02,COVID 19,0
Barking and Dagenham,2021-07-02,Non COVID 19,0
Barking and Dagenham,2021-07-03,COVID 19,0
Barking and Dagenham,2021-07-03,Non COVID 19,0
Barking and Dagenham,2021-07-04,COVID 19,0
Barking and Dagenham,2021-07-04,Non COVID 19,0
Barking and Dagenham,2021-07-05,COVID 19,0
Barking and Dagenham,2021-07-05,Non COVID 19,1
Barking and Dagenham,2021-07-06,COVID 19,0
Barking and Dagenham,2021-07-06,Non COVID 19,0
Barking and Dagenham,2021-07-07,COVID 19,0
Barking and Dagenham,2021-07-07,Non COVID 19,0
Barking and Dagenham,2021-07-08,COVID 19,0
Barking and Dagenham,2021-07-08,Non COVID 19,0
Barking and Dagenham,2021-07-09,COVID 19,0
Barking and Dagenham,2021-07-09,Non COVID 19,0
Barking and Dagenham,2021-07-10,COVID 19,0
Barking and Dagenham,2021-07-10,Non COVID 19,0
Barking and Dagenham,2021-07-11,COVID 19,0
Barking and Dagenham,2021-07-11,Non COVID 19,0
Barking and Dagenham,2021-07-12,COVID 19,0
Barking and Dagenham,2021-07-12,Non COVID 19,2
Barking and Dagenham,2021-07-13,COVID 19,0
Barking and Dagenham,2021-07-13,Non COVID 19,1
Barking and Dagenham,2021-07-14,COVID 19,0
Barking and Dagenham,2021-07-14,Non COVID 19,0
Barking and Dagenham,2021-07-15,COVID 19,0
Barking and Dagenham,2021-07-15,Non COVID 19,0
Barking and Dagenham,2021-07-16,COVID 19,0
Barking and Dagenham,2021-07-16,Non COVID 19,0
Barking and Dagenham,2021-07-17,COVID 19,0
Barking and Dagenham,2021-07-17,Non COVID 19,0
Barking and Dagenham,2021-07-18,COVID 19,0
Barking and Dagenham,2021-07-18,Non COVID 19,0
Barking and Dagenham,2021-07-19,COVID 19,0
Barking and Dagenham,2021-07-19,Non COVID 19,1
Barking and Dagenham,2021-07-20,COVID 19,0
Barking and Dagenham,2021-07-20,Non COVID 19,1
Barking and Dagenham,2021-07-21,COVID 19,0
Barking and Dagenham,2021-07-21,Non COVID 19,0
Barking and Dagenham,2021-07-22,COVID 19,0
Barking and Dagenham,2021-07-22,Non COVID 19,0
Barking and Dagenham,2021-07-23,COVID 19,0
Barking and Dagenham,2021-07-23,Non COVID 19,2
Barnet,2021-01-01,COVID 19,0
Barnet,2021-01-01,Non COVID 19,1
Barnet,2021-01-02,COVID 19,0
Barnet,2021-01-02,Non COVID 19,0
Barnet,2021-01-03,COVID 19,0
Barnet,2021-01-03,Non COVID 19,0
Barnet,2021-01-04,COVID 19,2
Barnet,2021-01-04,Non COVID 19,1
Barnet,2021-01-05,COVID 19,2
Barnet,2021-01-05,Non COVID 19,3
Barnet,2021-01-06,COVID 19,1
Barnet,2021-01-06,Non COVID 19,2
Barnet,2021-01-07,COVID 19,0
Barnet,2021-01-07,Non COVID 19,0
Barnet,2021-01-08,COVID 19,0
Barnet,2021-01-08,Non COVID 19,6
Barnet,2021-01-09,COVID 19,0
Barnet,2021-01-09,Non COVID 19,0
Barnet,2021-01-10,COVID 19,0
Barnet,2021-01-10,Non COVID 19,0
Barnet,2021-01-11,COVID 19,4
Barnet,2021-01-11,Non COVID 19,1
Barnet,2021-01-12,COVID 19,0
Barnet,2021-01-12,Non COVID 19,1
Barnet,2021-01-13,COVID 19,3
Barnet,2021-01-13,Non COVID 19,2
Barnet,2021-01-14,COVID 19,0
Barnet,2021-01-14,Non COVID 19,0
Barnet,2021-01-15,COVID 19,2
Barnet,2021-01-15,Non COVID 19,3
Barnet,2021-01-16,COVID 19,1
Barnet,2021-01-16,Non COVID 19,0
Barnet,2021-01-17,COVID 19,0
Barnet,2021-01-17,Non COVID 19,0
Barnet,2021-01-18,COVID 19,7
Barnet,2021-01-18,Non COVID 19,8
Barnet,2021-01-19,COVID 19,2
Barnet,2021-01-19,Non COVID 19,0
Barnet,2021-01-20,COVID 19,0
Barnet,2021-01-20,Non COVID 19,2
Barnet,2021-01-21,COVID 19,1
Barnet,2021-01-21,Non COVID 19,0
Barnet,2021-01-22,COVID 19,1
Barnet,2021-01-22,Non COVID 19,1
Barnet,2021-01-23,COVID 19,0
Barnet,2021-01-23,Non COVID 19,0
Barnet,2021-01-24,COVID 19,0
Barnet,2021-01-24,Non COVID 19,0
Barnet,2021-01-25,COVID 19,2
Barnet,2021-01-25,Non COVID 19,4
Barnet,2021-01-26,COVID 19,0
Barnet,2021-01-26,Non COVID 19,2
Barnet,2021-01-27,COVID 19,2
Barnet,2021-01-27,Non COVID 19,2
Barnet,2021-01-28,COVID 19,1
Barnet,2021-01-28,Non COVID 19,1
Barnet,2021-01-29,COVID 19,1
Barnet,2021-01-29,Non COVID 19,1
Barnet,2021-01-30,COVID 19,0
Barnet,2021-01-30,Non COVID 19,0
Barnet,2021-01-31,COVID 19,0
Barnet,2021-01-31,Non COVID 19,1
Barnet,2021-02-01,COVID 19,0
Barnet,2021-02-01,Non COVID 19,2
Barnet,2021-02-02,COVID 19,0
Barnet,2021-02-02,Non COVID 19,2
Barnet,2021-02-03,COVID 19,0
Barnet,2021-02-03,Non COVID 19,5
Barnet,2021-02-04,COVID 19,0
Barnet,2021-02-04,Non COVID 19,1
Barnet,2021-02-05,COVID 19,0
Barnet,2021-02-05,Non COVID 19,2
Barnet,2021-02-06,COVID 19,0
Barnet,2021-02-06,Non COVID 19,0
Barnet,2021-02-07,COVID 19,0
Barnet,2021-02-07,Non COVID 19,0
Barnet,2021-02-08,COVID 19,1
Barnet,2021-02-08,Non COVID 19,4
Barnet,2021-02-09,COVID 19,0
Barnet,2021-02-09,Non COVID 19,1
Barnet,2021-02-10,COVID 19,0
Barnet,2021-02-10,Non COVID 19,0
Barnet,2021-02-11,COVID 19,1
Barnet,2021-02-11,Non COVID 19,2
Barnet,2021-02-12,COVID 19,0
Barnet,2021-02-12,Non COVID 19,0
Barnet,2021-02-13,COVID 19,0
Barnet,2021-02-13,Non COVID 19,0
Barnet,2021-02-14,COVID 19,0
Barnet,2021-02-14,Non COVID 19,0
Barnet,2021-02-15,COVID 19,0
Barnet,2021-02-15,Non COVID 19,1
Barnet,2021-02-16,COVID 19,0
Barnet,2021-02-16,Non COVID 19,2
Barnet,2021-02-17,COVID 19,0
Barnet,2021-02-17,Non COVID 19,1
Barnet,2021-02-18,COVID 19,0
Barnet,2021-02-18,Non COVID 19,1
Barnet,2021-02-19,COVID 19,0
Barnet,2021-02-19,Non COVID 19,4
Barnet,2021-02-20,COVID 19,0
Barnet,2021-02-20,Non COVID 19,0
Barnet,2021-02-21,COVID 19,0
Barnet,2021-02-21,Non COVID 19,0
Barnet,2021-02-22,COVID 19,0
Barnet,2021-02-22,Non COVID 19,5
Barnet,2021-02-23,COVID 19,0
Barnet,2021-02-23,Non COVID 19,1
Barnet,2021-02-24,COVID 19,0
Barnet,2021-02-24,Non COVID 19,0
Barnet,2021-02-25,COVID 19,0
Barnet,2021-02-25,Non COVID 19,2
Barnet,2021-02-26,COVID 19,0
Barnet,2021-02-26,Non COVID 19,2
Barnet,2021-02-27,COVID 19,0
Barnet,2021-02-27,Non COVID 19,0
Barnet,2021-02-28,COVID 19,0
Barnet,2021-02-28,Non COVID 19,0
Barnet,2021-03-01,COVID 19,0
Barnet,2021-03-01,Non COVID 19,1
Barnet,2021-03-02,COVID 19,1
Barnet,2021-03-02,Non COVID 19,3
Barnet,2021-03-03,COVID 19,2
Barnet,2021-03-03,Non COVID 19,1
Barnet,2021-03-04,COVID 19,0
Barnet,2021-03-04,Non COVID 19,0
Barnet,2021-03-05,COVID 19,0
Barnet,2021-03-05,Non COVID 19,1
Barnet,2021-03-06,COVID 19,0
Barnet,2021-03-06,Non COVID 19,0
Barnet,2021-03-07,COVID 19,0
Barnet,2021-03-07,Non COVID 19,0
Barnet,2021-03-08,COVID 19,0
Barnet,2021-03-08,Non COVID 19,2
Barnet,2021-03-09,COVID 19,0
Barnet,2021-03-09,Non COVID 19,2
Barnet,2021-03-10,COVID 19,0
Barnet,2021-03-10,Non COVID 19,1
Barnet,2021-03-11,COVID 19,0
Barnet,2021-03-11,Non COVID 19,0
Barnet,2021-03-12,COVID 19,0
Barnet,2021-03-12,Non COVID 19,1
Barnet,2021-03-13,COVID 19,0
Barnet,2021-03-13,Non COVID 19,0
Barnet,2021-03-14,COVID 19,0
Barnet,2021-03-14,Non COVID 19,0
Barnet,2021-03-15,COVID 19,0
Barnet,2021-03-15,Non COVID 19,2
Barnet,2021-03-16,COVID 19,2
Barnet,2021-03-16,Non COVID 19,4
Barnet,2021-03-17,COVID 19,0
Barnet,2021-03-17,Non COVID 19,2
Barnet,2021-03-18,COVID 19,0
Barnet,2021-03-18,Non COVID 19,0
Barnet,2021-03-19,COVID 19,0
Barnet,2021-03-19,Non COVID 19,2
Barnet,2021-03-20,COVID 19,0
Barnet,2021-03-20,Non COVID 19,0
Barnet,2021-03-21,COVID 19,0
